# Russell 1000 Ishares ETF (IWB) downloaded from https://www.barchart.com/stocks/quotes/IWB on 2020/10/29
Symbol,Name,Sector,Industry,Exchange,Options,"Market Cap [K$]",Volume,Price,Earnings,Price/Earnings,Dividend
A,"Agilent Technologies","Computers and Technology","Electronic Test Equipment",NYSE,Yes,31342796,1180700,101.66,3.19,33.24,0.180
AAL,"American Airlines Gp",Transportation,"Transportation - Airline",NASDAQ,Yes,5569520,64399801,10.95,-14.86,0.00,0.100
AAP,"Advance Auto Parts Inc",Retail-Wholesale,"Retail - Wholesale Auto Parts",NYSE,Yes,10120566,687800,146.38,7.57,19.87,0.250
AAPL,"Apple Inc","Computers and Technology","Computer - Mini",NASDAQ,Yes,1927912160,143937797,111.20,3.30,35.47,0.205
AAXN,"Axon Inc","Industrial Products","Protection - Safety",NASDAQ,Yes,6474552,456400,102.00,-0.55,0.00,N/A
ABBV,"Abbvie Inc",Medical,"Large Cap Pharma",NYSE,Yes,142051408,11480100,80.49,9.30,8.89,1.180
ABC,"Amerisourcebergen Corp",Medical,"Medical - Dental Suppliers",NYSE,Yes,19536388,1842600,95.70,7.62,12.81,0.420
ABMD,"Abiomed Inc",Medical,"Medical Instruments",NASDAQ,Yes,12748301,448700,283.00,3.72,78.09,N/A
ABT,"Abbott Laboratories",Medical,"Medical Products",NYSE,Yes,188419808,7104900,106.42,3.15,34.47,0.360
ACAD,"Acadia Pharmaceutica",Medical,"Medical - Biomedical",NASDAQ,Yes,7319551,2099100,46.42,-1.47,0.00,N/A
ACC,"American Campus Communities Inc",Finance,"REIT - Equity Trust Resident",NYSE,Yes,4946864,1962800,35.95,0.87,17.81,0.470
ACGL,"Arch Capital Grp Ltd",Finance,"Insurance - Proprty & Casualty",NASDAQ,Yes,11955875,2236300,29.45,1.87,15.62,N/A
ACHC,"Acadia Healthcr Company",Medical,"Medical - Hospitals",NASDAQ,Yes,2577258,409200,28.97,1.99,15.19,N/A
ACI,"Albertsons Companies Inc Cl A","Consumer Staples","Consumer Prdts - Misc Staple",NYSE,Yes,7141787,6076000,15.11,1.92,0.00,0.100
ACM,"Aecom Technology Corp","Industrial Products","Engineering & R&D Services",NYSE,Yes,6864650,1831100,42.80,2.35,18.86,N/A
ACN,"Accenture Plc","Business Services",Consulting,NYSE,Yes,136233136,2412200,213.94,7.60,29.03,0.880
