Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield"
A,"Agilent Technologies",22900632000,24.17,3.04,316000000,1.42,0.66,0.89%
AAL,"American Airlines Gp",12102466000,6,4.51,1412000000,1.7,0.4,1.47%
AAP,"Advance Auto Parts Inc",11132803000,20.53,7.52,423850000,0.87,0.24,0.15%
AAPL,"Apple Inc",1039818176000,19.35,11.73,59531000000,1.24,3.08,1.34%
ABBV,"Abbvie Inc",110073128000,8.68,8.44,5687000000,0.99,4.28,5.75%
ABC,"Amerisourcebergen Corp",16986424000,11.61,6.92,1658410000,1,1.6,1.98%
ABMD,"Abiomed Inc",7366501000,41.38,3.85,259020000,0.41,0,0.00%
ABT,"Abbott Laboratories",141639264000,26.41,3.01,2368000000,1.13,1.28,1.60%
ACN,"Accenture Plc",123526768000,25.05,7.36,4779110000,1.04,2.92,1.59%
ADBE,"Adobe Systems Inc",133112048000,44.96,6.1,2590770000,1.09,0,0.00%
ADI,"Analog Devices",40058388000,19.65,5.5,1495430000,1.43,2.16,1.99%
ADM,"Archer Daniels Midland",22150856000,13.61,2.86,1810000000,1.07,1.4,3.52%
ADP,"Automatic Data Procs",69704104000,29.08,5.45,2292800000,0.9,3.16,1.97%
ADS,"Alliance Data Systems Corp",6040293000,5.92,20.02,963100000,1.7,2.52,2.13%
ADSK,"Autodesk Inc",31780970000,218.19,0.68,-80800000,1.86,0,0.00%
AEE,"Ameren Corp",18889960000,23.58,3.28,815000000,0.22,1.9,2.47%
AEP,"American Electric Power Company",45730356000,22.33,4.16,1923800000,0.09,2.68,2.89%
AES,"The Aes Corp",10502106000,12.43,1.25,1203000000,1.04,0.55,3.45%
AFL,"Aflac Incorporated",38551744000,11.98,4.3,2920000000,0.71,1.08,2.07%
AGN,"Allergan Plc",55053776000,9.98,16.71,-5096400000,1.65,2.96,1.76%
AIG,"American International Group",47027228000,26,2.04,-6000000,1.19,1.28,2.37%
AIV,"Apartment Investment and Management",7937007000,21.15,6.03,666230000,0.54,1.56,2.93%
AIZ,"Assurant Inc",7674386000,19.56,6.38,251000000,0.48,2.4,1.91%
AJG,"Arthur J. Gallagher & Company",16275544000,24.32,3.59,633500000,0.81,1.72,1.97%
AKAM,"Akamai Technologies",14742791000,27.91,3.21,298370000,0.62,0,0.00%
ALB,"Albemarle Corp",6937844000,11.32,5.62,693560000,1.64,1.47,2.25%
ALGN,"Align Technology",15508552000,41.22,4.59,400240000,2,0,0.00%
ALK,"Alaska Air Group",7997887000,12.82,5,437000000,0.85,1.4,2.16%
ALL,"Allstate Corp",35269628000,13.93,7.65,2252000000,0.83,2,1.87%
ALLE,"Allegion Plc",9402962000,22.01,4.59,434900000,1.18,1.08,1.07%
ALXN,"Alexion Pharm Inc",22052726000,11.21,8.46,77600000,1.67,0,0.00%
