Symbol,Name,Last,Industry,Sector,Options,Name
A,"Agilent Technologies",76.08,"Electronic Test Equipment","Computers and Technology",Yes,"Agilent Techno"
AAL,"American Airlines Gp",27.82,"Transportation - Airline",Transportation,Yes,"American Airli"
AAP,"Advance Auto Parts Inc",158.89,"Retail - Wholesale Auto Parts",Retail-Wholesale,Yes,"Advance Auto P"
AAPL,"Apple Inc",234.22,"Computer - Mini","Computers and Technology",Yes,"Apple Inc"
ABBV,"Abbvie Inc",74.03,"Large Cap Pharma",Medical,Yes,"Abbvie Inc"
ABC,"Amerisourcebergen Corp",82.92,"Medical - Dental Suppliers",Medical,Yes,Amerisourceber
ABMD,"Abiomed Inc",172.7,"Medical Instruments",Medical,Yes,"Abiomed Inc"
ABT,"Abbott Laboratories",81.23,"Medical Products",Medical,Yes,"Abbott Laborat"
ACN,"Accenture Plc",186.75,Consulting,"Business Services",Yes,"Accenture Plc"
ADBE,"Adobe Systems Inc",280.54,"Computer - Software","Computers and Technology",Yes,"Adobe Systems "
ADI,"Analog Devices",111.63,"Semi Analog & Mixed","Computers and Technology",Yes,"Analog Devices"
ADM,"Archer Daniels Midland",40.6,"Agriculture Operations","Consumer Staples",Yes,"Archer Daniels"
ADP,"Automatic Data Procs",163.31,Outsourcing,"Business Services",Yes,"Automatic Data"
ADS,"Alliance Data Systems Corp",121.45,"Financial Transaction Services","Business Services",Yes,"Alliance Data "
ADSK,"Autodesk Inc",151.44,"Computer - Software","Computers and Technology",Yes,"Autodesk Inc"
AEE,"Ameren Corp",76.51,"Utility - Electric Power",Utilities,Yes,"Ameren Corp"
AEP,"American Electric Power Company",92.15,"Utility - Electric Power",Utilities,Yes,"American Elect"
AES,"The Aes Corp",15.99,"Utility - Electric Power",Utilities,Yes,"The Aes Corp"
AFL,"Aflac Incorporated",52.84,"Insurance - Accident & Health",Finance,Yes,"Aflac Incorpor"
AGN,"Allergan Plc",168.4,"Medical - Generic Drugs",Medical,Yes,"Allergan Plc"
AIG,"American International Group",55.33,"Insurance - Multi Line",Finance,Yes,"American Inter"
AIV,"Apartment Investment and Management",53.33,"REIT - Equity Trust Resident",Finance,Yes,"Apartment Inve"
AIZ,"Assurant Inc",126.51,"Insurance - Multi Line",Finance,Yes,"Assurant Inc"
AJG,"Arthur J. Gallagher & Company",88.24,"Insurance - Brokers",Finance,Yes,"Arthur J. Gall"
AKAM,"Akamai Technologies",90.74,"Internet - Services","Computers and Technology",Yes,"Akamai Technol"
ALB,"Albemarle Corp",68.38,"Chemical - Diversified","Basic Materials",Yes,"Albemarle Corp"
ALGN,"Align Technology",202.06,"Medical - Dental Suppliers",Medical,Yes,"Align Technolo"
ALK,"Alaska Air Group",67.18,"Transportation - Airline",Transportation,Yes,"Alaska Air Gro"
ALL,"Allstate Corp",108.72,"Insurance - Proprty & Casualty",Finance,Yes,"Allstate Corp"
ALLE,"Allegion Plc",102.58,"Protection - Safety","Industrial Products",Yes,"Allegion Plc"
ALXN,"Alexion Pharm Inc",99.52,"Medical - Biomedical",Medical,Yes,"Alexion Pharm "
AMAT,"Applied Materials",52.31,"Semi-Eqpt Wafer Fabrication","Computers and Technology",Yes,"Applied Materi"
AMCR,"Amcor Plc",9.69,"Containers - Paper Products","Industrial Products",Yes,"Amcor Plc"
AMD,"Adv Micro Devices",29.48,"Electronics - Semiconductors","Computers and Technology",Yes,"Adv Micro Devi"
AME,"Amtek Inc",89.95,"Electronic Test Equipment","Computers and Technology",Yes,"Amtek Inc"
AMG,"Affiliated Managers Group",76.27,"Finance - Investment Mgmt",Finance,Yes,"Affiliated Man"
AMGN,"Amgen Inc",203.55,"Medical - Biomedical",Medical,Yes,"Amgen Inc"
AMP,"Ameriprise Financial Services",139.17,"Finance - Investment Mgmt",Finance,Yes,"Ameriprise Fin"
AMT,"American Tower Corp",226.06,"REIT - Equity Trust Other",Finance,Yes,"American Tower"
AMZN,"Amazon.com Inc",1744.66,"Internet Commerce",Retail-Wholesale,Yes,"Amazon.com Inc"
ANET,"Arista Networks Inc",237.9,"Communications Components","Computers and Technology",Yes,"Arista Network"
ANSS,"Ansys Inc",227.26,"Computer - Software","Computers and Technology",Yes,"Ansys Inc"
ANTM,"Anthem Inc",241.53,"Medical - HMO",Medical,Yes,"Anthem Inc"
AON,"AON Plc",191.62,"Insurance - Brokers",Finance,Yes,"AON Plc"
AOS,"Smith [A.O.] Corp",48.27,"Machinery - Electrical","Industrial Products",Yes,"Smith [A.O.] C"
APA,"Apache Corp",21.21,"Oil - US Exploration & Product",Oils-Energy,Yes,"Apache Corp"
APD,"Air Products and Chemicals",218.9,"Chemical - Diversified","Basic Materials",Yes,"Air Products a"
APH,"Amphenol Corp",97.92,"Electronics - Connectors","Computers and Technology",Yes,"Amphenol Corp"
APTV,"Aptiv Plc",86.66,"Technology Services","Business Services",Yes,"Aptiv Plc"
ARE,"Alexandria Real Estate Equities",154.37,"REIT - Equity Trust Other",Finance,Yes,"Alexandria Rea"
ARNC,"Arconic Inc",26.6,"Mining - Non Ferrous","Basic Materials",Yes,"Arconic Inc"
ATO,"Atmos Energy Corp",110.97,"Utility - Gas Distribution",Utilities,Yes,"Atmos Energy C"
ATVI,"Activision Blizzard",55.31,"Toys & Game & Hobby","Consumer Discretionary",Yes,"Activision Bli"
AVB,"Avalonbay Communities",217.5,"REIT - Equity Trust Resident",Finance,Yes,"Avalonbay Comm"
AVGO,"Broadcom Ltd",283.17,"Electronics - Semiconductors","Computers and Technology",Yes,"Broadcom Ltd"
AVY,"Avery Dennison Corp",114.14,"Office Supply & Forms","Industrial Products",Yes,"Avery Dennison"
AWK,"American Water Works",123.35,"Utility - Water Supply",Utilities,Yes,"American Water"
AXP,"American Express Company",117.06,"Finance - Misc Services",Finance,Yes,"American Expre"
AZO,Autozone,1087.68,"Retail - Wholesale Auto Parts",Retail-Wholesale,Yes,Autozone
BA,"Boeing Company",372.04,"Aerospace - Defense",Aerospace,Yes,"Boeing Company"
BAC,"Bank of America Corp",29.18,"Banks - Major Regional",Finance,Yes,"Bank of Americ"
BAX,"Baxter International Inc",88.62,"Medical Products",Medical,Yes,"Baxter Interna"
BBT,"BB&T Corp",52.2,"Banks - Major Regional",Finance,Yes,"BB&T Corp"
BBY,"Best Buy Company",69.32,"Retail - Consumer Electronics",Retail-Wholesale,Yes,"Best Buy Compa"
BDX,"Becton Dickinson and Company",254.21,"Medical - Dental Suppliers",Medical,Yes,"Becton Dickins"
BEN,"Franklin Resources",27.66,"Finance - Investment Mgmt",Finance,Yes,"Franklin Resou"
BF.B,"Brown Forman Inc Cl B",63.21,"Beverages - Alcohol","Consumer Staples",No,"Brown Forman I"
BHGE,"Baker Hughes A Ge Co. Cl A",22.26,"Oil - Field Services",Oils-Energy,Yes,"Baker Hughes A"
BIIB,"Biogen Inc",225.45,"Medical - Biomedical",Medical,Yes,"Biogen Inc"
BK,"Bank of New York Mellon Corp",44.51,"Banks - Major Regional",Finance,Yes,"Bank of New Yo"
BKNG,"Booking Holdings Inc",1998.48,"Internet Commerce",Retail-Wholesale,Yes,"Booking Holdin"
BLK,Blackrock,432.8,"Finance - Investment Mgmt",Finance,Yes,Blackrock
BLL,"Ball Corp",73.78,"Containers - Metal & Glass","Industrial Products",Yes,"Ball Corp"
BMY,"Bristol-Myers Squibb Company",51.68,"Large Cap Pharma",Medical,Yes,"Bristol-Myers "
BR,"Broadridge Financial Solutions Llc",125,Outsourcing,"Business Services",Yes,"Broadridge Fin"
BRK.B,"Berkshire Hathaway Cl B",208.9,"Insurance - Proprty & Casualty",Finance,No,"Berkshire Hath"
BSX,"Boston Scientific Corp",38.77,"Medical Products",Medical,Yes,"Boston Scienti"
BWA,"Borgwarner Inc",37.14,"Auto - Truck Original Parts",Auto-Tires-Trucks,Yes,"Borgwarner Inc"
BXP,"Boston Properties",128.78,"REIT - Equity Trust Other",Finance,Yes,"Boston Propert"
C,"Citigroup Inc",70.5,"Banks - Major Regional",Finance,Yes,"Citigroup Inc"
CAG,"Conagra Brands Inc",28.55,"Food - Misc & Diversified","Consumer Staples",Yes,"Conagra Brands"
CAH,"Cardinal Health",47.36,"Medical - Dental Suppliers",Medical,Yes,"Cardinal Healt"
CAT,"Caterpillar Inc",128.08,"Machinery - Construct & Mining","Industrial Products",Yes,"Caterpillar In"
CB,"Chubb Ltd",155.86,"Insurance - Proprty & Casualty",Finance,Yes,"Chubb Ltd"
CBOE,"CBOE Global Markets Inc",114.93,"Securities Exchanges",Finance,Yes,"CBOE Global Ma"
CBRE,"CBRE Group Inc",52.18,"Real Estate Operations",Finance,Yes,"CBRE Group Inc"
CBS,"CBS Corp",38.73,"Broadcast - Radio & TV","Consumer Discretionary",Yes,"CBS Corp"
CCI,"Crown Castle International Corp",138.26,"REIT - Equity Trust Other",Finance,Yes,"Crown Castle I"
CCL,"Carnival Corp",42.22,"Leisure & Recreation Services","Consumer Discretionary",Yes,"Carnival Corp"
CDNS,"Cadence Design Sys",66.83,"Computer - Software","Computers and Technology",Yes,"Cadence Design"
CDW,"CDW Corp",124.66,"IT Services","Computers and Technology",Yes,"CDW Corp"
CE,"Celanese Corp",121.89,"Chemical - Specialty","Basic Materials",Yes,"Celanese Corp"
CELG,"Celgene Corp",100.44,"Medical - Biomedical",Medical,Yes,"Celgene Corp"
CERN,"Cerner Corp",67.75,"Medical Information Systems",Medical,Yes,"Cerner Corp"
CF,"Cf Industries Holdings",50.32,Fertilizers,"Basic Materials",Yes,"Cf Industries "
